num,user_id,date,data_type,data_value
19888999,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,16,0.0
19889000,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,17,4.06
19889001,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-25,19,4.61
19889002,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,1,6129.03
19889003,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,10,9.05
19889004,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,11,23.66
19889005,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,12,9.08
19889006,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,13,3.0
19889007,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,14,0.38
19889008,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,15,0.05
19889009,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,16,0.0
19889010,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,17,6.22
19889011,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,19,2.82
19889012,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,20,36.32
19889013,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,21,2291.4
19889014,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,22,485.43
19889015,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,26,102.51
19889016,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-26,27,4.87
19889017,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,1,5631.23
19889018,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,10,5.96
19889019,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,11,24.14
19889020,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,12,6.52
19889021,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,13,1.0
19889022,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,14,0.47
19889023,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,15,0.1
19889024,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,16,0.0
19889025,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,17,4.08
19889026,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,19,1.9
19889027,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,26,95.53
19889028,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-27,27,4.88
19889029,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,1,3456.76
19889030,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,10,10.68
19889031,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,11,24.16
19889032,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,12,10.91
19889033,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,13,2.01
19889034,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,14,0.18
19889035,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,15,0.1
19889036,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,16,0.0
19889037,cb8ba5956b7b6655ba2d6e0d4e77f0e0c900b083,2017-03-28,17,5.79
